#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.171548E+00   0.236375E+05   0.178691E+05   0.490718E+01   0.489920E+01   0.000000E+00   0.227305E+05   0.227305E+05   0.227305E+05  -0.540944E-01   0.225714E+05   0.218912E+05   0.719685E+01
   0.176075E+00   0.228382E+05   0.171304E+05   0.449374E+01   0.448644E+01   0.000000E+00   0.219407E+05   0.219407E+05   0.219408E+05  -0.522149E-01   0.217931E+05   0.210934E+05   0.721266E+01
   0.180601E+00   0.220381E+05   0.162573E+05   0.410933E+01   0.410267E+01   0.000000E+00   0.211290E+05   0.211290E+05   0.211291E+05  -0.502833E-01   0.209967E+05   0.202522E+05   0.748161E+01
   0.185128E+00   0.212554E+05   0.153549E+05   0.375834E+01   0.375226E+01   0.000000E+00   0.203275E+05   0.203275E+05   0.203276E+05  -0.483759E-01   0.202109E+05   0.194176E+05   0.777794E+01
   0.189655E+00   0.205127E+05   0.145287E+05   0.344458E+01   0.343902E+01   0.000000E+00   0.195717E+05   0.195717E+05   0.195718E+05  -0.465771E-01   0.194685E+05   0.186409E+05   0.792011E+01
   0.194181E+00   0.198265E+05   0.138550E+05   0.316907E+01   0.316396E+01   0.000000E+00   0.188874E+05   0.188874E+05   0.188875E+05  -0.449487E-01   0.187933E+05   0.179582E+05   0.780559E+01
   0.198708E+00   0.192030E+05   0.133654E+05   0.292953E+01   0.292481E+01   0.000000E+00   0.182850E+05   0.182850E+05   0.182851E+05  -0.435150E-01   0.181947E+05   0.173824E+05   0.741980E+01
   0.203234E+00   0.186403E+05   0.130481E+05   0.272133E+01   0.271694E+01   0.000000E+00   0.177610E+05   0.177610E+05   0.177610E+05  -0.422678E-01   0.176698E+05   0.169058E+05   0.682224E+01
   0.207761E+00   0.181304E+05   0.128574E+05   0.253855E+01   0.253445E+01   0.000000E+00   0.173012E+05   0.173012E+05   0.173012E+05  -0.411736E-01   0.172061E+05   0.165058E+05   0.611775E+01
   0.212288E+00   0.176598E+05   0.127283E+05   0.237491E+01   0.237106E+01   0.000000E+00   0.168843E+05   0.168843E+05   0.168843E+05  -0.401814E-01   0.167845E+05   0.161502E+05   0.542284E+01
   0.216814E+00   0.172125E+05   0.125934E+05   0.222477E+01   0.222116E+01   0.000000E+00   0.164862E+05   0.164862E+05   0.164862E+05  -0.392339E-01   0.163828E+05   0.158052E+05   0.483543E+01
   0.221341E+00   0.167746E+05   0.124002E+05   0.208398E+01   0.208060E+01   0.000000E+00   0.160868E+05   0.160868E+05   0.160868E+05  -0.382835E-01   0.159823E+05   0.154439E+05   0.441447E+01
   0.225868E+00   0.163375E+05   0.121224E+05   0.195024E+01   0.194707E+01   0.000000E+00   0.156747E+05   0.156747E+05   0.156747E+05  -0.373027E-01   0.155720E+05   0.150527E+05   0.417257E+01
   0.230394E+00   0.158983E+05   0.117612E+05   0.182287E+01   0.181992E+01   0.000000E+00   0.152478E+05   0.152478E+05   0.152478E+05  -0.362868E-01   0.151497E+05   0.146316E+05   0.408118E+01
   0.234921E+00   0.154595E+05   0.113406E+05   0.170233E+01   0.169958E+01   0.000000E+00   0.148118E+05   0.148118E+05   0.148119E+05  -0.352494E-01   0.147201E+05   0.141914E+05   0.408461E+01
