#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.200913E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328874E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.786316E+00
   0.202932E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328874E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.794219E+00
   0.204971E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328874E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.802201E+00
   0.207031E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328873E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.810263E+00
   0.209112E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328873E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.818406E+00
   0.211214E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328873E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.826631E+00
   0.213336E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328873E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.834939E+00
   0.215480E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328873E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.843331E+00
   0.217646E-04   0.246660E+06   0.246660E+06   0.328874E+06   0.328873E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245515E+06   0.851806E+00
   0.219833E-04   0.246660E+06   0.246660E+06   0.328873E+06   0.328873E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.860367E+00
