M200(Msun), Mstar_low(Msun, Mstar_high(Msun)
3824569.722467 107.122834 250.318426
3949995.461221 112.501157 262.817617
4079534.503452 118.129133 276.030463
4213321.743847 124.056800 289.806125
4351496.500925 130.266077 304.382963
4494202.662119 136.799193 319.567596
4641588.833613 143.649792 335.647015
4793808.495089 150.850197 352.399925
4951020.159556 158.408334 370.121530
5113387.538414 166.344181 388.604610
5281079.711934 174.682908 408.136099
5454271.305330 183.429310 428.527946
5633142.670601 192.629219 450.054134
5817880.074345 202.268962 472.551771
6008675.891720 212.418962 496.276346
6205728.806777 223.043287 521.097120
6409244.019356 234.241465 547.244563
6619433.458774 245.950930 574.628242
6836516.004510 258.305494 603.445955
7060717.714138 271.210930 633.657037
7292272.058728 284.841258 665.417676
7531420.165974 299.064811 698.747941
7778411.071286 314.102601 733.751999
8033501.977125 329.778895 770.523317
8296958.520835 346.369435 809.101963
8569055.051268 363.652134 849.669397
8850074.914473 381.950416 892.187605
9140310.748756 401.018551 936.942832
9440064.789418 421.185891 983.802834
9749649.183484 442.223854 1033.177914
10069386.314760 464.451157 1084.822999
10399609.139541 487.662376 1139.294538
10740661.533334 512.160047 1196.213242
11092898.648952 537.768952 1256.306982
11456687.286349 564.768886 1319.037706
11832406.274584 593.023078 1385.333580
12220446.866315 622.780856 1454.469677
12621213.145225 653.953496 1527.607393
13035122.446815 686.750804 1603.802773
13462605.792989 721.143256 1684.487972
13904108.340901 757.290549 1768.538509
14360089.846513 795.235287 1857.474318
14831025.143361 835.074730 1950.202173
15317404.637021 876.938551 2048.219182
15819734.815786 920.847258 2150.519556
16338538.778099 967.034822 2258.544814
16874356.777274 1015.428425 2371.405179
17427746.784089 1066.386165 2490.460337
17999285.067825 1119.722749 2614.969932
18589566.796357 1175.943182 2746.180894
19199206.655933 1234.727618 2883.541198
19828839.491271 1296.754103 3028.148747
20479120.966651 1361.542832 3179.685032
21150728.248688 1429.974813 3339.056551
21844360.711494 1501.381110 3506.230613
22560740.664969 1576.879911 3681.872989
23300614.106969 1655.579691 3866.297198
24064751.500154 1738.874895 4059.871045
24853948.574298 1825.645955 4263.323823
25669027.154920 1917.509612 4476.659154
26510836.019085 2013.245650 4701.102056
27380251.779279 2114.493081 4936.215549
28278179.796253 2220.120092 5183.812079
29205555.121827 2331.709838 5442.926105
30163343.472592 2448.249448 5716.062476
31152542.235555 2571.237964 6001.626054
32174181.506764 2699.817303 6302.934070
33229325.163990 2835.368966 6617.645963
34319071.974590 2977.231560 6950.028242
35444556.739704 3126.629690 7296.862403
36606951.475969 3283.147484 7663.520186
37807466.635993 3447.806500 8045.753787
39047352.368856 3620.493117 8450.217594
40327899.821937 3801.971927 8871.513042
41650442.485452 3992.497301 9317.625329
43016357.581068 4192.514067 9782.374394
44427067.496069 4402.720582 10274.016695
45884041.264548 4623.168990 10786.695488
47388796.097177 4855.089292 11328.511967
48942898.961145 5098.056484 11894.056812
50547968.211912 5353.933129 12491.164926
52205675.278470 5621.719472 13115.019540
53917746.403875 5904.026605 13773.058208
55685964.442864 6199.167476 14461.225701
57512170.718416 6510.634750 15186.408357
59398266.939204 6835.924549 15945.508529
61346217.179925 7179.563512 16744.681562
63358049.926583 7538.082134 17582.014049
65435860.188832 7917.215348 18462.721174
